pu,pu_mod,pu_code,pu_desc
ETH Zurich,Thermodynamics I,151-0051-00L,"Fundamentals of energy conversion, first and second laws of thermodynamics, and phase equilibria."
MIT,Calculus of Several Variables,18.02,"Multivariable calculus: vector fields, partial derivatives, multiple integrals, and Stokes' theorem."
NTU Singapore,Semiconductor Devices,EE 2003,Physics and operation of semiconductor diodes and transistors. Covers p-n junctions and MOS capacitors.
National Taiwan University,Introduction to Sociology,SOC 1001,"Analysis of social structures, cultural identity, and the dynamics of modern society."
Stanford,Financial Accounting,GSBGEN 202,Basic concepts and procedures of financial reporting. Focuses on income measurement and the balance sheet.
Stanford,Mechanical Behavior of Materials,ME 221,"Analysis of stress and strain in engineering materials. Covers elasticity, plasticity, and fracture mechanics."
TU Munich,Mechanical Principles,ME 0011,"Analysis of rigid body mechanics, internal forces, and the structural integrity of beams and frames."
UC Berkeley,Microeconomic Analysis,ECON 101A,"Study of consumer and firm behavior, market structures, and general equilibrium theory."
University of Edinburgh,Introduction to Ethics,PHIL 08001,"Overview of major moral theories including utilitarianism, deontology, and virtue ethics."
University of Manchester,Civil Engineering Materials,MACE 20001,"Properties and performance of structural materials including concrete, masonry, and sustainable composites."
